"","X","Date","Infl_d","BOT_d","Yield_d","FER_d","Int_d","PrimeRate_d","X1Y_Yield_d","GDPG_d","CA_d","FDI_d","Country.x","Infl_f","BOT_f","Yield_f","FER_f","Int_f","PrimeRate_f","GDPG_f","CA_f","FDI_f","Country.y","Exchange","Exchange_fut","Pct_Chg","X1Y_Yield_f"
"1",1,"1971-02-01",5.3,110,6.09,14699,NA,6.29,29.521168807174,2743.11438836244,-837.376849906196,383949.486052834,"usa",1,301,NA,4799.1,NA,7,771.781278626564,794683.420960214,979573.88958239,"canada",1.0118,NA,NA,-6.54846670366576
"3",3,"1971-02-01",5.3,110,6.09,14699,NA,6.29,29.521168807174,2743.11438836244,-837.376849906196,383949.486052834,"usa",6.58,-117.3,NA,4532,NA,8.5,-41035826.7754392,1031419176.65415,-2910.74996503165,"japan",358.02,NA,NA,-15420.6808738051
"5",5,"1971-02-01",5.3,110,6.09,14699,NA,6.29,29.521168807174,2743.11438836244,-837.376849906196,383949.486052834,"usa",15.9,-70.63,NA,593.8,NA,NA,2614352.48145059,-11202.1180132671,12030719.3305451,"korea",NA,NA,NA,-0.308949384788403
"9",9,"1971-02-01",5.3,110,6.09,14699,NA,6.29,29.521168807174,2743.11438836244,-837.376849906196,383949.486052834,"usa",NA,NA,NA,11000,NA,NA,-268.174194709393,60718.9788535731,5872298.72764153,"mexico",NA,NA,NA,-189868.767092329
"11",11,"1971-03-01",5,238,6.14,14534,NA,5.88,18.7440230784252,1543.42600225856,-178.38283872791,378957.306349316,"usa",1.5,213,NA,4850.3,NA,7,328.789054660502,776032.619357256,972294.228099309,"canada",1.0075,NA,NA,-3.13901631109593
"13",13,"1971-03-01",5,238,6.14,14534,NA,5.88,18.7440230784252,1543.42600225856,-178.38283872791,378957.306349316,"usa",6.25,29.17,NA,4868,NA,8.5,-40336365.7567424,1021390961.99797,-2722.16634436358,"japan",357.545,NA,NA,-15042.0232205979
"15",15,"1971-03-01",5,238,6.14,14534,NA,5.88,18.7440230784252,1543.42600225856,-178.38283872791,378957.306349316,"usa",15.9,-144.84,NA,566.5,NA,NA,2545154.35518911,1307.77501691538,11962556.5954521,"korea",NA,NA,NA,1.68950666583773
"19",19,"1971-03-01",5,238,6.14,14534,NA,5.88,18.7440230784252,1543.42600225856,-178.38283872791,378957.306349316,"usa",NA,NA,NA,11100,NA,NA,-280.675307513387,75855.5619117996,5827238.43792497,"mexico",NA,NA,NA,-187795.195901824
"21",21,"1971-04-01",4.7,269,5.53,14342,NA,5.44,11.1,683,196,374008.587346252,"usa",1.5,271,NA,4844.7,NA,6.5,30,757675.762844115,965050.720813457,"canada",1.0064,NA,NA,-0.57
"22",22,"1971-04-01",4.7,269,5.53,14342,NA,5.44,11.1,683,196,374008.587346252,"usa",5.26,151.53,NA,5458,NA,8.5,-39644896.4779355,1011427953.76162,-2541.88419234706,"japan",357.5187,NA,NA,-14669.6090122586
"26",26,"1971-04-01",4.7,269,5.53,14342,NA,5.44,11.1,683,196,374008.587346252,"usa",15.5,-95.47,NA,570,NA,NA,2477186.51811984,9105,11894651.8081715,"korea",NA,NA,NA,2.9
"30",30,"1971-04-01",4.7,269,5.53,14342,NA,5.44,11.1,683,196,374008.587346252,"usa",NA,NA,NA,11500,NA,NA,-293,85028,5782409.24843619,"mexico",NA,NA,NA,-185736.776154685
"31",31,"1971-05-01",4.2,-70,6.08,14307,NA,5.28,6.12243290523186,107.206751957141,338.623518129387,369103.139043642,"usa",2,189,NA,4853.9,NA,6.5,-149.771070540128,739610.518087457,957843.277724832,"canada",1.0077,NA,NA,1.2541377851776
"32",32,"1971-05-01",4.2,-70,6.08,14307,NA,5.28,6.12243290523186,107.206751957141,338.623518129387,369103.139043642,"usa",5.83,86,NA,5777,NA,8.5,-38961373.031611,1001529939.27844,-2369.71650898208,"japan",357.5032,NA,NA,-14303.3863969353
"35",35,"1971-05-01",4.2,-70,6.08,14307,NA,5.28,6.12243290523186,107.206751957141,338.623518129387,369103.139043642,"usa",12.6,-130.76,NA,570.3,NA,NA,2410437.94802057,12982.8902693201,11827004.4797031,"korea",NA,NA,NA,3.45216024732805
"39",39,"1971-05-01",4.2,-70,6.08,14307,NA,5.28,6.12243290523186,107.206751957141,338.623518129387,369103.139043642,"usa",NA,NA,NA,11700,NA,NA,-304.392716613677,89291.8486737298,5737810.56503219,"mexico",NA,NA,NA,-183693.452295358
"41",41,"1971-06-01",4.4,-89,6.38,13811,NA,5.46,3.34465512745409,-238.58337149965,302.339567512103,364240.771441486,"usa",2,218,NA,4878.7,NA,6.5,-235.709342145066,721834.551753948,950671.808833437,"canada",1.0087,NA,NA,2.42895259999241
"42",42,"1971-06-01",4.4,-89,6.38,13811,NA,5.46,3.34465512745409,-238.58337149965,302.339567512103,364240.771441486,"usa",6.46,89.1,NA,6916,NA,8.5,-38285749.5103616,991696705.881777,-2205.47629426864,"japan",357.413,NA,NA,-13943.3035227761
"45",45,"1971-06-01",4.4,-89,6.38,13811,NA,5.46,3.34465512745409,-238.58337149965,302.339567512103,364240.771441486,"usa",11.7,-120.77,NA,573.8,NA,NA,2344897.62266906,13734.779158209,11759614.1210471,"korea",NA,NA,NA,3.47561703745151
"49",49,"1971-06-01",4.4,-89,6.38,13811,NA,5.46,3.34465512745409,-238.58337149965,302.339567512103,364240.771441486,"usa",NA,NA,NA,11600,NA,NA,-314.097901798862,89702.6634885446,5693441.79356997,"mexico",NA,NA,NA,-181665.168768286
"51",51,"1971-07-01",4.6,-292,6.7,13504,NA,5.5,2.3,-409,140,359421.294539783,"usa",2.5,196,NA,4851.8,NA,6.5,-253,704345.530510256,943536.22413927,"canada",1.0213,NA,NA,3.05
"54",54,"1971-07-01",4.6,-292,6.7,13504,NA,5.5,2.3,-409,140,359421.294539783,"usa",7.08,125.65,NA,7599,NA,8.5,-37617980.0067799,981928040.904952,-2048.97654820676,"japan",357.4118,NA,NA,-13589.3085379292
"56",56,"1971-07-01",4.6,-292,6.7,13504,NA,5.5,2.3,-409,140,359421.294539783,"usa",14,-136.92,NA,581.5,NA,NA,2280554.51984309,12154,11692480.2432034,"korea",NA,NA,NA,3.1
"60",60,"1971-07-01",4.6,-292,6.7,13504,NA,5.5,2.3,-409,140,359421.294539783,"usa",NA,NA,NA,12000,NA,NA,-321.36,87316,5649302.33990652,"mexico",NA,NA,NA,-179651.870017914
"61",61,"1971-08-01",4.4,-222,6.85,13283,NA,5.91,2.45890812090986,-463.179977541737,-85.1050405037113,354644.518338535,"usa",2.4,227,NA,4923.8,NA,6.5,-230.093483256166,687141.121023047,936436.433642331,"canada",1.0213,NA,NA,3.22149875309907
"64",64,"1971-08-01",4.4,-222,6.85,13283,NA,5.91,2.45890812090986,-463.179977541737,-85.1050405037113,354644.518338535,"usa",6.77,176.86,NA,7927,NA,8.5,-36958018.6134583,972223731.6813,-1900.03027079642,"japan",357.4043,NA,NA,-13241.3495905428
"65",65,"1971-08-01",4.4,-222,6.85,13283,NA,5.91,2.45890812090986,-463.179977541737,-85.1050405037113,354644.518338535,"usa",15.1,-139.69,NA,578.9,NA,NA,2217397.61732045,9214.70140298503,11625602.357172,"korea",NA,NA,NA,2.44845720095531
"69",69,"1971-08-01",4.4,-222,6.85,13283,NA,5.91,2.45890812090986,-463.179977541737,-85.1050405037113,354644.518338535,"usa",NA,NA,NA,12200,NA,NA,-325.473743915477,83231.5731981046,5605391.60989885,"mexico",NA,NA,NA,-177653.500488687
"71",71,"1971-09-01",4.6,-210,6.28,12128,5.5,6,3.04024914705158,-478.289005595468,-267.932241890381,349910.252837741,"usa",3.4,271,NA,4992.2,NA,6.5,-208.501246929002,670218.989958987,929372.347342621,"canada",1.013,NA,NA,3.08232047656092
"74",74,"1971-09-01",4.6,-210,6.28,12128,5.5,6,3.04024914705158,-478.289005595468,-267.932241890381,349910.252837741,"usa",7.1,209.45,NA,12514,NA,8.5,-36305819.4229896,962583565.544156,-1758.45046203763,"japan",355.78,NA,NA,-12899.3748287649
"75",75,"1971-09-01",4.6,-210,6.28,12128,5.5,6,3.04024914705158,-478.289005595468,-267.932241890381,349910.252837741,"usa",15.4,-126.63,NA,575.3,NA,NA,2155415.89287892,6614.29307529016,11558979.973953,"korea",NA,NA,NA,1.6182104517078
"79",79,"1971-09-01",4.6,-210,6.28,12128,5.5,6,3.04024914705158,-478.289005595468,-267.932241890381,349910.252837741,"usa",NA,NA,NA,12500,NA,NA,-325.935019259445,78725.7358106798,5561709.00940396,"mexico",NA,NA,NA,-175670.004625049
"81",81,"1971-10-01",4.1,345,6,12130,5.13,6,3.2,-536,-293,345218.308037401,"usa",3.4,188,NA,4991.6,NA,6.5,-233,653576.803984743,922343.875240139,"canada",1.013,NA,NA,2.78
"84",84,"1971-10-01",4.1,345,6,12130,5.13,6,3.2,-536,-293,345218.308037401,"usa",7.9,204.04,NA,13384,NA,8.2,-35661336.5279663,953007329.826853,-1624.05012193039,"japan",338.021,NA,NA,-12563.3324007438
"86",86,"1971-10-01",4.1,345,6,12130,5.13,6,3.2,-536,-293,345218.308037401,"usa",14.5,-98.61,NA,572,NA,NA,2094598.32429626,6231,11492612.6045463,"korea",NA,NA,NA,0.7
"90",90,"1971-10-01",4.1,345,6,12130,5.13,6,3.2,-536,-293,345218.308037401,"usa",NA,NA,NA,12400,NA,NA,-322.29,75119,5518253.94427885,"mexico",NA,NA,NA,-173701.326871444
"91",91,"1971-11-01",3.8,-699,5.87,12146,5.13,5.9,2.40860127779538,-695.449804753157,-97.018170929357,340568.493937515,"usa",3.9,124,NA,5071.5,NA,6.25,-332.040181620394,637212.229766982,915350.927334886,"canada",1.0047,NA,NA,2.41875609131502
"94",94,"1971-11-01",3.8,-699,5.87,12146,5.13,5.9,2.40860127779538,-695.449804753157,-97.018170929357,340568.493937515,"usa",6.59,140.14,NA,14098,NA,8.2,-35024524.020981,943494811.862724,-1496.64225047469,"japan",331.1105,NA,NA,-12233.1704546276
"95",95,"1971-11-01",3.8,-699,5.87,12146,5.13,5.9,2.40860127779538,-695.449804753157,-97.018170929357,340568.493937515,"usa",11.4,-81.19,NA,565.6,NA,NA,2034933.88935025,9038.97078540644,11426499.7599519,"korea",NA,NA,NA,-0.183026088186314
"99",99,"1971-11-01",3.8,-699,5.87,12146,5.13,5.9,2.40860127779538,-695.449804753157,-97.018170929357,340568.493937515,"usa",NA,NA,NA,13700,NA,NA,-313.833418835528,73511.0807560739,5475025.82038051,"mexico",NA,NA,NA,-171747.411672318
"101",101,"1971-12-01",3.3,-159,5.93,12130,5.13,5.53,1.39434828433961,-925.630976488848,174.537548197569,335960.620538083,"usa",3.9,101,NA,5273.6,NA,6,-468.767151620406,621122.933972372,908393.413626861,"canada",1.0039,NA,NA,1.9295432715417
"102",102,"1971-12-01",3.3,-159,5.93,12130,5.13,5.53,1.39434828433961,-925.630976488848,174.537548197569,335960.620538083,"usa",5.69,113.75,NA,14836,NA,8.2,-34395335.9946263,934045798.985101,-1376.03984767054,"japan",328.752,NA,NA,-11908.8371385645
"105",105,"1971-12-01",3.3,-159,5.93,12130,5.13,5.53,1.39434828433961,-925.630976488848,174.537548197569,335960.620538083,"usa",11.8,-89.61,NA,571.8,NA,NA,1976411.56581868,12396.0485406304,11360640.9511698,"korea",NA,NA,NA,-0.778088473912336
"109",109,"1971-12-01",3.3,-159,5.93,12130,5.13,5.53,1.39434828433961,-925.630976488848,174.537548197569,335960.620538083,"usa",NA,NA,NA,13900,NA,NA,-298.85424338558,74118.5043798473,5432024.04356595,"mexico",NA,NA,NA,-169808.203472113
"111",111,"1972-01-01",3.3,-187,5.89,12315,4.5,5.49,1.2,-1173,324,331394.497839105,"usa",4.75,274.39,NA,15235,NA,8.2,-33773726.5414948,924660078.527321,-1262.05591351794,"japan",320.0727,NA,NA,-11590.2806007025
"113",113,"1972-01-01",3.3,-187,5.89,12315,4.5,5.49,1.2,-1173,324,331394.497839105,"usa",4.9,170,NA,5570.4,NA,6,-590,605306.583267577,901471.244116065,"canada",0.9993,NA,NA,1.2
"115",115,"1972-01-01",3.3,-187,5.89,12315,4.5,5.49,1.2,-1173,324,331394.497839105,"usa",9.1,-91.53,NA,568.1,NA,NA,1919020.33147933,12756,11295035.6892,"korea",NA,NA,NA,-0.8
"120",120,"1972-01-01",3.3,-187,5.89,12315,4.5,5.49,1.2,-1173,324,331394.497839105,"usa",NA,NA,NA,14100,NA,NA,-275.39,76937,5389248.01969217,"mexico",NA,NA,NA,-167883.646715275
"121",121,"1972-02-01",3.3,-262,6.09,13084,3.5,5.18,2.55113121235307,-1391.79858122341,220.399946443361,326869.935840581,"usa",4.12,-29.99,NA,15957,NA,8.2,-33159649.7541791,915337437.822713,-1154.50344801688,"japan",312.72,358.02,0.144858019953952,-11277.4489891899
"122",122,"1972-02-01",3.3,-262,6.09,13084,3.5,5.18,2.55113121235307,-1391.79858122341,220.399946443361,326869.935840581,"usa",4.9,29,NA,5657.3,NA,6,-653.893938410405,589760.844319265,894584.328802497,"canada",1.0059,1.0118,0.00586539417437123,0.231995400159353
"125",125,"1972-02-01",3.3,-262,6.09,13084,3.5,5.18,2.55113121235307,-1391.79858122341,220.399946443361,326869.935840581,"usa",7.9,-54.44,NA,578.6,NA,NA,1862749.16410996,8531.04508501884,11229683.4850426,"korea",NA,NA,NA,-0.0867232185804199
"129",129,"1972-02-01",3.3,-262,6.09,13084,3.5,5.18,2.55113121235307,-1391.79858122341,220.399946443361,326869.935840581,"usa",NA,NA,NA,15800,NA,NA,-244.374802964634,81614.5482220441,5346697.15461616,"mexico",NA,NA,NA,-165973.685846249
"131",131,"1972-03-01",3.5,-549,6.04,12535,3.5,4.75,4.9045799378122,-1567.40931067136,-0.440173122116164,322386.744542512,"usa",4.41,92.77,NA,16478,NA,8.2,-32553059.7252717,906077664.204614,-1053.19545116738,"japan",305.187,357.545,0.171560387565656,-10970.2904521747
"132",132,"1972-03-01",3.5,-549,6.04,12535,3.5,4.75,4.9045799378122,-1567.40931067136,-0.440173122116164,322386.744542512,"usa",4.9,212,NA,5668.4,NA,6,-663.948665107894,574483.383794103,887732.577686158,"canada",1.0047,1.0075,0.00278690156265565,-0.515678747912913
"135",135,"1972-03-01",3.5,-549,6.04,12535,3.5,4.75,4.9045799378122,-1567.40931067136,-0.440173122116164,322386.744542512,"usa",9.2,-70.52,NA,566.3,NA,NA,1807587.04148836,5967.21646589201,11164583.8496974,"korea",NA,NA,NA,1.03118048097858
"139",139,"1972-03-01",3.5,-549,6.04,12535,3.5,4.75,4.9045799378122,-1567.40931067136,-0.440173122116164,322386.744542512,"usa",NA,NA,NA,16800,NA,NA,-218.329118309345,86408.13555882,5304370.85419493,"mexico",NA,NA,NA,-164078.265309478
"141",141,"1972-04-01",3.5,-547,6.12,12475,5.5,4.75,7.4,-1693,-136,317944.733944896,"usa",5.29,165.81,NA,16663,NA,8.2,-31953910.5473654,896880545.006355,-957.944922969415,"japan",302.5365,357.5187,0.181737410196786,-10668.7531378052
"142",142,"1972-04-01",3.5,-547,6.12,12475,5.5,4.75,7.4,-1693,-136,317944.733944896,"usa",5.4,136,NA,5748.4,NA,6,-635,559471.868358757,880915.900767047,"canada",0.9985,1.0064,0.00791186780170246,-0.47
"146",146,"1972-04-01",3.5,-547,6.12,12475,5.5,4.75,7.4,-1693,-136,317944.733944896,"usa",10.2,-104.96,NA,579.3,NA,NA,1753522.94139231,13269,11099736.2941646,"korea",NA,NA,NA,2.1
"150",150,"1972-04-01",3.5,-547,6.12,12475,5.5,4.75,7.4,-1693,-136,317944.733944896,"usa",NA,NA,NA,16100,NA,NA,-212.67,89227,5262268.52428548,"mexico",NA,NA,NA,-162197.329549407
"151",151,"1972-05-01",3.5,-595,6.14,12473,5.5,4.97,9.26835535427383,-1761.28179627912,-43.8038370663109,313543.714047734,"usa",4.8,99,NA,5779.4,NA,6,-585.272953626874,544723.964679894,874134.208045165,"canada",0.9957,1.0077,0.0120518228382043,0.672891937677193
"152",152,"1972-05-01",3.5,-595,6.14,12473,5.5,4.97,9.26835535427383,-1761.28179627912,-43.8038370663109,313543.714047734,"usa",5.22,119.27,NA,16535,NA,8,-31362156.3130526,887745867.56127,-868.564863423001,"japan",303.5605,357.5032,0.177699997199899,-10372.7851942295
"155",155,"1972-05-01",3.5,-595,6.14,12473,5.5,4.97,9.26835535427383,-1761.28179627912,-43.8038370663109,313543.714047734,"usa",11.4,-91.03,NA,564.5,NA,NA,1700545.84159958,34716.589615259,11035140.3294441,"korea",NA,NA,NA,2.74843748102651
"159",159,"1972-05-01",3.5,-595,6.14,12473,5.5,4.97,9.26835535427383,-1761.28179627912,-43.8038370663109,313543.714047734,"usa",NA,NA,NA,16600,NA,NA,-237.785517454083,88560.0226520459,5220389.5707448,"mexico",NA,NA,NA,-160330.82301048
"161",161,"1972-06-01",3.2,-602,6.05,13345,5.5,5,10.1058504829301,-1763.13918823311,178.445366513118,309183.494851026,"usa",4.8,225,NA,6048,NA,6,-546.54929905913,530237.339424181,867387.409520511,"canada",0.9889,1.0087,0.0200222469410455,2.14020875714699
"162",162,"1972-06-01",3.2,-602,6.05,13345,5.5,5,10.1058504829301,-1763.13918823311,178.445366513118,309183.494851026,"usa",4.91,49.47,NA,16034,NA,8,-30777751.1149259,878673419.202692,-784.868272528134,"japan",304.3795,357.413,0.174234795707332,-10082.3347695957
"165",165,"1972-06-01",3.2,-602,6.05,13345,5.5,5,10.1058504829301,-1763.13918823311,178.445366513118,309183.494851026,"usa",13.8,-108.72,NA,578.3,NA,NA,1648644.71988795,58893.0115217275,10970795.466536,"korea",NA,NA,NA,2.9348480314795
"169",169,"1972-06-01",3.2,-602,6.05,13345,5.5,5,10.1058504829301,-1763.13918823311,178.445366513118,309183.494851026,"usa",NA,NA,NA,17000,NA,NA,-283.947801895556,85214.6570885766,5178733.39942991,"mexico",NA,NA,NA,-158478.690137143
"171",171,"1972-07-01",2.7,-495,6.15,13339,5.5,5.04,9.6,-1689,373,304863.886354772,"usa",4.3,243,NA,6217.7,NA,6,-554,516009.659258284,860675.415193086,"canada",0.9795,1.0213,0.0426748340990302,2.89
"172",172,"1972-07-01",2.7,-495,6.15,13339,5.5,5.04,9.6,-1689,373,304863.886354772,"usa",4.6,153.67,NA,15845,NA,8,-30200649.045578,869662987.263955,-706.668150284815,"japan",302.4145,357.4118,0.181860658136432,-9797.35001205197
"176",176,"1972-07-01",2.7,-495,6.15,13339,5.5,5.04,9.6,-1689,373,304863.886354772,"usa",14.6,-75.64,NA,610.7,NA,NA,1597808.5540352,70457,10906701.2164401,"korea",NA,NA,NA,2.7
"180",180,"1972-07-01",2.7,-495,6.15,13339,5.5,5.04,9.6,-1689,373,304863.886354772,"usa",NA,NA,NA,17500,NA,NA,-336.4,80578,5137299.41619779,"mexico",NA,NA,NA,-156640.875373839
"181",181,"1972-08-01",2.9,-312,6.12,13090,5.5,5.25,7.69026218536642,-1543.00015958602,422.741327747808,300584.698558973,"usa",4.8,93,NA,6191.1,NA,6,-625.64387671173,502038.59084887,853998.135062889,"canada",0.984,1.0213,0.0379065040650408,2.2360664787615
"182",182,"1972-08-01",2.9,-312,6.12,13090,5.5,5.25,7.69026218536642,-1543.00015958602,422.741327747808,300584.698558973,"usa",4.9,208.55,NA,15884,NA,8,-29630804.1976014,860714359.078393,-633.777496693043,"japan",301.0305,357.4043,0.187269396290409,-9517.77906974648
"185",185,"1972-08-01",2.9,-312,6.12,13090,5.5,5.25,7.69026218536642,-1543.00015958602,422.741327747808,300584.698558973,"usa",13.9,-57.34,NA,618.2,NA,NA,1548026.3218191,59061.226083575,10842857.0901566,"korea",NA,NA,NA,2.14482514632622
"189",189,"1972-08-01",2.9,-312,6.12,13090,5.5,5.25,7.69026218536642,-1543.00015958602,422.741327747808,300584.698558973,"usa",NA,NA,NA,18300,NA,NA,-381.968312404218,75651.5093179203,5096087.02690544,"mexico",NA,NA,NA,-154817.323165013
"191",191,"1972-09-01",2.9,-351,6.42,13123,5.5,5.27,5.32386998231923,-1384.10801047026,373.066114477051,296345.741463627,"usa",4.7,136,NA,6199.4,NA,6,-710.891175692623,488321.800862605,847355.47912992,"canada",0.9824,1.013,0.0311482084690552,0.915214089695342
"192",192,"1972-09-01",2.9,-351,6.42,13123,5.5,5.27,5.32386998231923,-1384.10801047026,373.066114477051,296345.741463627,"usa",5.76,117.39,NA,16372,NA,7.7,-29068170.6635888,851827321.979338,-566.009311752817,"japan",301.1609,355.78,0.181361856735054,-9243.57009082736
"195",195,"1972-09-01",2.9,-351,6.42,13123,5.5,5.27,5.32386998231923,-1384.10801047026,373.066114477051,296345.741463627,"usa",14.6,-57.95,NA,661.3,NA,NA,1499287.00101744,34334.1078175683,10779262.5986854,"korea",NA,NA,NA,1.61090887458492
"199",199,"1972-09-01",2.9,-351,6.42,13123,5.5,5.27,5.32386998231923,-1384.10801047026,373.066114477051,296345.741463627,"usa",NA,NA,NA,17700,NA,NA,-413.81115558991,69894.0879387257,5055095.63740988,"mexico",NA,NA,NA,-153007.977955109
"201",201,"1972-10-01",3.2,-257,6.54,13217,5.5,5.5,3.7,-1285,310,292146.825068735,"usa",3.94,181.13,NA,16489,NA,7.7,-28512702.5361327,843001663.300123,-503.176595464139,"japan",301.119,338.021,0.122549556819729,-8974.67122344276
"202",202,"1972-10-01",3.2,-257,6.54,13217,5.5,5.5,3.7,-1285,310,292146.825068735,"usa",5.7,109,NA,6221.1,NA,6,-742,474856.955966157,840747.35739418,"canada",0.983,1.013,0.0305188199389623,0.0199999999999996
"206",206,"1972-10-01",3.2,-257,6.54,13217,5.5,5.5,3.7,-1285,310,292146.825068735,"usa",12.8,-80.52,NA,685.7,NA,NA,1451579.569408,10898,10715917.2530265,"korea",NA,NA,NA,1.5
"210",210,"1972-10-01",3.2,-257,6.54,13217,5.5,5.5,3.7,-1285,310,292146.825068735,"usa",NA,NA,NA,17200,NA,NA,-426.67,62379,5014324.65356809,"mexico",NA,NA,NA,-151212.784188572
"211",211,"1972-11-01",3.4,-378,6.41,13312,5.5,5.73,3.70392923759381,-1283.42126908049,301.134822371376,287987.759374297,"usa",4.21,105.44,NA,17796,4.25,7.7,-27964353.9078257,834237170.374083,-445.092347827008,"japan",301.011,331.1105,0.0999946845796332,-8711.03061574083
"212",212,"1972-11-01",3.4,-378,6.41,13312,5.5,5.73,3.70392923759381,-1283.42126908049,301.134822371376,287987.759374297,"usa",5.2,220,NA,6228.9,NA,6,-674.225613600282,461641.722826192,834173.679855669,"canada",0.9827,1.0047,0.0223873002951052,0.336175480610124
"215",215,"1972-11-01",3.4,-378,6.41,13312,5.5,5.73,3.70392923759381,-1283.42126908049,301.134822371376,287987.759374297,"usa",12.4,-71.54,NA,709.9,NA,NA,1404893.00476854,885.987531922554,10652820.56418,"korea",NA,NA,NA,2.07226193366861
"219",219,"1972-11-01",3.4,-378,6.41,13312,5.5,5.73,3.70392923759381,-1283.42126908049,301.134822371376,287987.759374297,"usa",NA,NA,NA,16000,NA,NA,-417.6267884846,53262.6437799764,4973773.48123708,"mexico",NA,NA,NA,-149431.686309847
"221",221,"1972-12-01",3.7,-631,6.28,13306,5.5,5.75,4.96533625445966,-1277.39173284882,340.327212615713,283868.354380314,"usa",5.1,115,NA,18412,4.25,7.7,-27423078.8712604,825533630.53455,-391.569568841424,"japan",300.9885,328.752,0.0922410656885563,-8452.59641586973
"222",222,"1972-12-01",3.7,-631,6.28,13306,5.5,5.75,4.96533625445966,-1277.39173284882,340.327212615713,283868.354380314,"usa",5.2,242,NA,6046.5,NA,6,-554.811924096303,448673.768109376,827634.356514386,"canada",0.9874,1.0039,0.0167105529673891,1.42226821740498
"225",225,"1972-12-01",3.7,-631,6.28,13306,5.5,5.75,4.96533625445966,-1277.39173284882,340.327212615713,283868.354380314,"usa",10.1,-48.91,NA,712.3,NA,NA,1359216.28487685,6474.07572651781,10589972.0431457,"korea",NA,NA,NA,3.02151647018083
"229",229,"1972-12-01",3.7,-631,6.28,13306,5.5,5.75,4.96533625445966,-1277.39173284882,340.327212615713,283868.354380314,"usa",NA,NA,NA,16100,NA,NA,-393.125353522581,47033.9541194838,4933441.52627384,"mexico",NA,NA,NA,-147664.628763376
"231",231,"1973-01-01",3.4,-400,6.41,13150,5.5,5.79,6.8,-1130,403,279788.420086784,"usa",5.2,206,NA,6049.9,NA,6,-454,435950.758482376,821129.297370332,"canada",0.9968,0.9993,0.00250802568218293,2.53
"233",233,"1973-01-01",3.4,-400,6.41,13150,5.5,5.79,6.8,-1130,403,279788.420086784,"usa",5.67,298.52,NA,18365,4.25,7.7,-26888831.5190294,816890831.114857,-342.421258507387,"japan",301.2405,320.0727,0.0625154984140579,-8199.31677197759
"236",236,"1973-01-01",3.4,-400,6.41,13150,5.5,5.79,6.8,-1130,403,279788.420086784,"usa",9.2,-76.28,NA,739.7,NA,NA,1314538.38751071,27349,10527371.2009238,"korea",NA,NA,NA,3.9
"240",240,"1973-01-01",3.4,-400,6.41,13150,5.5,5.79,6.8,-1130,403,279788.420086784,"usa",NA,NA,NA,17700,NA,NA,-361.95,49265,4893328.19453539,"mexico",NA,NA,NA,-145911.555993606
"241",241,"1973-02-01",3.6,-301,6.52,13053,5.5,6,8.5717986420361,-755.611060388296,469.941604988911,275747.766493709,"usa",5.6,254,NA,5964.5,NA,6,-422.712928146402,423470.36061186,814658.412423506,"canada",0.9993,1.0059,0.00660462323626544,3.06775011731652
"242",242,"1973-02-01",3.6,-301,6.52,13053,5.5,6,8.5717986420361,-755.611060388296,469.941604988911,275747.766493709,"usa",6.5,-112.66,NA,17856,4.25,7.7,-26361565.9437254,808308559.448339,-297.460416824897,"japan",301.7882,312.72,0.0362234176154005,-7951.13983221256
"245",245,"1973-02-01",3.6,-301,6.52,13053,5.5,6,8.5717986420361,-755.611060388296,469.941604988911,275747.766493709,"usa",7.9,-101.3,NA,745,NA,NA,1270848.29044789,60674.9348998459,10465017.5485142,"korea",NA,NA,NA,4.35501600788824
"249",249,"1973-02-01",3.6,-301,6.52,13053,5.5,6,8.5717986420361,-755.611060388296,469.941604988911,275747.766493709,"usa",NA,NA,NA,18600,NA,NA,-332.487866990714,63252.2488955073,4853432.89187871,"mexico",NA,NA,NA,-144172.412444981
"251",251,"1973-03-01",3.9,-425,6.64,13196,6,6.02,9.83700722206437,-273.695428504843,543.402812837874,271746.203601087,"usa",4.8,-40.61,NA,737.7,NA,NA,1228134.97146617,93525.8114985827,10402910.5969169,"korea",NA,NA,NA,4.41413635580287
"252",252,"1973-03-01",3.9,-425,6.64,13196,6,6.02,9.83700722206437,-273.695428504843,543.402812837874,271746.203601087,"usa",6,183,NA,6052.1,NA,6,-434.601868662906,411230.241164493,808221.611673909,"canada",0.9956,1.0047,0.00914021695460013,3.07052785549955
"254",254,"1973-03-01",3.9,-425,6.64,13196,6,6.02,9.83700722206437,-273.695428504843,543.402812837874,271746.203601087,"usa",7.04,118.53,NA,19067,4.25,7.7,-25841236.2379408,799786602.868328,-256.500043793955,"japan",278.4206,305.187,0.0961365646076477,-7708.0137447228
"259",259,"1973-03-01",3.9,-425,6.64,13196,6,6.02,9.83700722206437,-273.695428504843,543.402812837874,271746.203601087,"usa",NA,NA,NA,19100,NA,NA,-311.537430319767,83189.7622500058,4813755.0241608,"mexico",NA,NA,NA,-142447.142561944
"261",261,"1973-04-01",4.6,-115,6.73,13201,6.75,6.3,10.2,145,631,267783.54140892,"usa",2.1,-91.1,NA,758.3,NA,NA,1186387.40834333,110453,10341049.857132,"korea",NA,NA,NA,4.2
"262",262,"1973-04-01",4.6,-115,6.73,13201,6.75,6.3,10.2,145,631,267783.54140892,"usa",5.6,267,NA,5967.6,NA,6,-444,399228.066806943,801818.80512154,"canada",0.9967,0.9985,0.0018059596669008,2.73
